,name,occurances,color,ppg
262,Apple Juice,381,4.976190476190476,44.19952324033345
263,Cara Gold (BE),378,45.03968253968254,33.9321584810896
264,Carafa II,373,423.1447721179625,33.74759074959925
265,Extra Dark Crystal 160L (UK),372,160.36290322580646,32.93159144893111
266,Northern Brewer Amber Malt Syrup ,369,10.0,35.92537248974304
267,Caramalt,366,11.631147540983607,32.60167568760303
268,Crystal Malt,364,49.63461538461539,32.49020065445244
269,Crystal 75,364,75.0,32.874018736607816
270,Munich Dark (CA),360,31.991666666666667,33.92951846253509
271,Amber Malt (Thomas Faucett),357,41.910364145658264,32.93159144893111
272,ESB Pale Malt,353,2.2436260623229463,35.354320770910164
273,Cherrywood Smoke Malt,352,4.997159090909091,33.9323534824601
274,Belgian Biscuit Malt,351,18.273504273504273,46.208853994602215
275,Belgian Candi Sugar - Clear,350,,32.01349859641546
276,German Wheat Malt Light,350,2.0,36.923299503347
277,Torrified Wheat (),349,1.0,35.92537248974303
278,Marris Otter,347,4.994236311239193,33.9295184625351
279,Special B,346,147.10982658959537,33.49400696237844
280,De-Husked Caraf III (DE),345,471.9942028985507,31.93366443532714
281,"Wheat, Unmalted (Wheat Berries)",339,4.9734513274336285,24.93934412758956
282,CaraAmber,336,26.235119047619047,32.940501511552576
283,CaraBrown (US),336,55.907738095238095,33.9295184625351
284,Cara-Pils/Dextrine,332,2.0813253012048194,32.92858564467326
285,Medium Crystal,331,55.61329305135952,33.971726855859735
286,Caramel Wheat Malt,327,46.0,34.17671139251038
287,German Pilsner ,325,5.003076923076923,33.9295184625351
288,Great Western White Wheat Malt,325,4.0,36.923299503347
289,Midnight Wheat Malt,320,550.0,0.5270302040595982
290,British Crystal 135-165L,319,150.0,32.93159144893111
291,Rahr Red Wheat Malt,316,3.0,36.923299503347
292,"Pale Malt, 2 Row, Bel",315,3.0,36.923299503346996
293,Demerara (Raw) Sugar,313,2.0798722044728435,45.91101915622112
294,Extra Special Malt,313,129.96805111821087,33.91038887122
295,American Two-row Toasted,312,20.0,30.935737421723168
296,CaraBohemian (DE),311,75.06109324758843,32.938008985996085
297,Caraamber,311,30.083601286173632,34.92102793907408
298,British Brown malt,302,55.033112582781456,31.933664435327135
299,Corn Syrup,301,1.1986301369863013,36.50224724179317
300,Franco Belges Kiln Coffee,301,100.61461794019934,24.958121456513993
301,Cara 8 (Cara-Pils),296,8.0,29.93781040811919
302,Optic Pale Malt (),296,3.0,35.92537248974303
303,Dark Crystal Malt,293,92.80204778156997,32.938403237419884
304,Crystal 55L,290,55.0,33.92951846253509
305,White Sorghum Syrup,284,1.2605633802816902,43.67336215522458
306,Roasted Barley (),279,609.0,33.9295184625351
307,Dark Wheat,279,7.010752688172043,36.92329950334701
308,Red Wheat,278,2.0179856115107913,37.91045752040129
309,Orange Blossom Honey,277,2.9818840579710146,37.81314777901553
310,2-Row Black Malt,275,500.0,32.93159144893111
311,Golden Naked Oat,275,10.0,33.9295184625351
312,Castle Special B,267,114.43445692883896,34.91623281306486
313,Apple Cider,260,5.361867704280155,42.454118067205954
314,Mild Malt,258,4.0,36.923299503347
315,Organic Pale,258,2.0,36.923299503347
316,Belgian Candi Syrup-Dark,258,79.90310077519379,31.933664435327145
317,briess cbw bavarian wheat liquid extract,258,8.0,34.92744547613906
318,Candi Syrup D-180,256,180.0,31.93366443532715
319,Cara 45,255,20.63137254901961,33.9295184625351
320,Caramunich Malt 20,255,20.0,32.9315914489311
321,CARAMUNICHÂ® I,254,33.98031496062992,34.927445476139056
322,English Two Row,254,5.0,33.9295184625351
323,Ashburne® Mild Malt,253,5.0,35.92537248974303
324,Bairds Chocolate Malt,253,475.0,32.903980820096216
325,Dark Crystal,251,76.01195219123505,33.647236319244726
326,Cara 20,249,18.690763052208837,34.59079539926062
327,Wildflower honey,248,8.0,39.82453086144566
328,British Black Patent,248,550.0,24.944151440850934
329,"Pale Malt, Golden Promise ()",247,3.0,37.921226516950966
330,Malted Naked Oats (UK),246,1.065040650406504,32.793666577132186
331,Crisp Crystal Malt 45L,245,45.0,34.91522596168676
332,Black Barley,245,500.0,31.933664435327145
333,"Honey, Clover",244,1.0163934426229508,34.927445476139056
334,CaraWheat,243,40.041152263374485,34.935658867197525
335,German Rauch Smoked,242,3.0,34.927445476139056
336,Belgian Candi Syrup - D2,242,157.82231404958677,31.995519415509214
337,British Crystal 65L,240,65.0,33.92951846253509
338,toasted oats,239,5.146443514644352,33.78755395013956
339,"Pale Malt, 6 Row, US",238,2.0,34.92744547613905
340,Pale Crystal Malt,238,22.159663865546218,31.958822259199515
341,Crystal Rye Malt,237,89.73417721518987,28.043012281023053
342,Crisp Chocolate malt,237,630.0,33.786355937376726
343,Belgian Dark Candi Sugar D2,236,159.40677966101694,31.933664435327145
344,"Barley, Flaked (Breiss)",233,2.0,6.985489095227816
345,Rice Syrup Solids,233,1.0043478260869565,37.008958474471804
346,Abbey Malt  (DE),232,17.280172413793103,32.9401942680139
347,Ashbourne Mild (US),231,5.008658008658009,29.97237065101458
348,Crystal 140L (UK),224,141.41071428571428,32.904861261066706
349,Floor-Malted Bohemian Wheat (DE),224,1.0267857142857142,37.92122651695098
350,Crisp Amber,223,27.0,33.9295184625351
351,Biscuit Malt (Pale),223,9.0,36.923299503346996
352,"Wheat Malt, Belgian",222,2.036036036036036,36.923299503347
353,Lager Malt,221,1.0226244343891402,36.02019813356966
354,dark crystal 1 (thomas fawcett),221,85.0,33.9295184625351
355,English Medium Crystal,220,8.568181818181818,33.92498243065508
356,"Wheat Malt, Red",218,2.0,37.902915929545394
357,Crisp Brown,216,74.93055555555556,34.927445476139056
358,Piloncillo,214,10.225352112676056,45.77407273615233
359,Debittered Black malt,213,550.0,33.9295184625351
360,"Wheat Malt, Dark",211,9.0,38.1813496721558
361,German Pale Malt,210,3.0,35.92537248974303
362,"Belgian Candi Syrup, Clear",210,6.0,31.933664435327145
363,Pale Crystal (),208,20.0,33.92951846253509
364,Pale 2-Row - Toasted (US),207,29.92753623188406,32.830352476536504
365,Australian Ale Malt,207,3.0,33.92951846253511
366,De-Husked Caraf II (DE),207,417.96135265700485,31.895097207748243
367,Carastan Light 15L (UK),206,15.0,34.92744547613905
368,Dehusked Carafa II,205,425.0243902439024,27.95169225421471
369,Belgian Dark Candi Syrup,205,80.09756097560975,31.93366443532714
370,Mild (UK),204,3.088235294117647,36.90862410608812
371,Bairds Carastan Malt,203,35.0,33.9295184625351
372,British Golden Promise,196,2.0,33.9295184625351
373,Extra Dark Crystal,196,159.97448979591837,33.97025017737608
374,CARAMUNICH® III,190,56.07368421052632,34.927445476139056
375,Belgian Debittered Black Malt,189,549.5661375661375,32.7890304469877
376,Crisp Roasted Barley,188,549.4414893617021,33.75435042291313
377,CARAFAÂ® III,187,524.9732620320856,31.93366443532714
378,CaraMalt,187,34.1283422459893,33.95620100300579
379,Caramel/Crystal Malt -120L,186,121.53225806451613,32.920861050935365
380,"Oats, Steel Cut (Pinhead Oats)",184,1.0,33.92951846253509
381,EBS Pale Malt,184,3.0,29.937810408119198
382,Crisp Crystal Malt 77L,183,77.0327868852459,34.92744547613905
383,Light Wheat,183,1.005464480874317,33.9295184625351
384,CARAAROMA®,182,149.8901098901099,33.9295184625351
385,Candi Syrup D-90,182,90.0,31.95559689716459
386,Crystal 150,180,150.0,33.169985124403176
387,Canada Malting Company White Wheat,180,2.0,35.92537248974303
388,"Maize, Flaked ()",180,2.0,33.9295184625351
389,Victory Malt,179,25.027932960893853,33.86261832754489
390,Extra Special Malt (US),177,130.0,32.93722945465768
